PPT Value,Jack,Human Readable,iSENSE Readable,Equation
0,Any,Counter Type,Counts,x
1,Any,Voltage,Voltage,x*3.3*(3/2)/1023
2,Any,Analog to Digital,ADC,x
3,Bta,Vernier UV(A) Sensor,(mW/m^2),((3940*x*3)/(1024))
4,Bta,Vernier Carbon Dioxide Gas Sensor (Low Range),Carbon Dioxide,2500*x*3.3*(3/2)/1023
5,Bta,Vernier Carbon Dioxide Gas Sensor (High Range),Carbon Dioxide,25000*x*3.3*(3/2)/1023
6,Bta,Vernier pH Sensor,pH,-0.0185*x+13.769
7,Bta,Vernier Dissolved Oxygen Probe,Dissolved Oxygen,-.327+3.27*(x*3.3*(3/2)/1023)
8,Bta,Vernier Salinity Sensor,Salinity,16.3*(x*3.3*(3/2)/1023)
9,Bta,Vernier Flow Rate Sensor,Flow Rate,0+1*(x*3.3*(3/2)/1023)
10,Bta,Vernier Stainless Steel Temperature Probe,Temperature,-33.47 * ln (x) + 213.85
11,Mini,Motor Monitor Sensor,Voltage,((x*3.3*(3/2)/1023)-2.5)*5
12,Bta,Vernier Conductivity Probe (20000),Conductivity,0+(x*3.3*(3/2)/1023)*7819
13,Bta,Vernier Conductivity Probe (2000),Conductivity,0+(x*3.3*(3/2)/1023)*781.9
14,Bta,Vernier Conductivity Probe (200),Conductivity,0+(x*3.3*(3/2)/1023)*78.19
15,Mini,Pinpoint Temperature Probe,Temperature,-40.17 * ln((x*3.3*(3/2)/1023)) + 64.03
16,Bta,Vernier Turbidity Sensor [BLUE],Turbidity,0.5814*x - 69.767
17,Bta,Vernier Turbidity Sensor [RED],Turbidity,0.5291*x - 87.831
18,Bta,Vernier Turbidity Sensor [WHITE],Turbidity,0.5556*x - 66.667
19,Bta,Vernier Turbidity Sensor [GREEN],Turbidity,0.5435*x - 79.891
