PPT Value,Jack,Human Readable,iSENSE Readable,Equation
0,Any,Counter Type,Counts,x
1,Any,Voltage,Voltage,x*3.3*(3/2)/1023
2,Bta,Vernier Temperature Probe,Temperature Probe, (4548.5815/x) - (0.0001010072228 * x * x) + 19.55366
3,Bta,Vernier UV(A) Sensor,(mW/m^2),((3940*x*3)/(1024))
4,Bta,Vernier Carbon Dioxide Gas Sensor (Low Range),Carbon Dioxide,2500*x*3.3*(3/2)/1023
5,Bta,Vernier Carbon Dioxide Gas Sensor (High Range),Carbon Dioxide,25000*x*3.3*(3/2)/1023
6,Bta,Vernier pH Sensor,pH,7+(-1*(x-375))/52.5
7,Bta,Vernier Dissolved Oxygen Probe (Stored Cal.),Dissolved Oxygen,-.327+3.27*(x*3.3*(3/2)/1023)
8,Bta,Vernier Salinity Sensor (Stored Cal.),Salinity,16.3*(x*3.3*(3/2)/1023)
9,Bta,Vernier Salinity Sensor (?),Salinity,0.0224*((x*3.3)/1023)+1.51
10,Bta,Vernier Turbidity Sensor,Turbidity,-77.5+111.75(x*3.3*(3/2)/1023)
11,Bta,Vernier Flow Rate Sensor,Flow Rate,0+1*(x*3.3*(3/2)/1023)
12,Bta,Vernier Stainless Steel Temperature Probe,Temperature (°C),1.0082*(x*3.3*(3/2)/1023)*(x*3.3*(3/2)/1023)-24.79*(x*3.3*(3/2)/1023)+87.757
13,Mini,Motor Monitor Sensor,Voltage,((x*3.3*(3/2)/1023)-2.5)*5
14,Mini,PINPoint Temperature Probe,Temperature (°C),-6093.6*(x*3.3*(3/2)/1023)*(x*3.3*(3/2)/1023)*(x*3.3*(3/2)/1023)+68605*(x*3.3*(3/2)/1023)*(x*3.3*(3/2)/1023)-257408*x+321889
