PPT Value,Jack,Human Readable,iSENSE Readable,Equation
0,Any,Counter Type,Counts,x
1,Any,Voltage,Voltage,x*3.3*(3/2)/1023
2,Bta,Vernier UV(A) Sensor,(mW/m^2),((3940*x*3)/(1024))
3,Bta,Vernier Carbon Dioxide Gas Sensor (Low Range),Carbon Dioxide,2500*x*3.3*(3/2)/1023
4,Bta,Vernier Carbon Dioxide Gas Sensor (High Range),Carbon Dioxide,25000*x*3.3*(3/2)/1023
5,Bta,Vernier pH Sensor,pH,7+(-1*(x-375))/52.5
6,Bta,Vernier Dissolved Oxygen Probe,Dissolved Oxygen,-.327+3.27*(x*3.3*(3/2)/1023)
7,Bta,Vernier Salinity Sensor,Salinity,16.3*(x*3.3*(3/2)/1023)
8,Bta,Vernier Turbidity Sensor,Turbidity,-77.5+111.75(x*3.3*(3/2)/1023)
9,Bta,Vernier Flow Rate Sensor,Flow Rate,0+1*(x*3.3*(3/2)/1023)
10,Bta,Vernier Stainless Steel Temperature Probe,Temperature (°C),1.0082*(x*3.3*(3/2)/1023)*(x*3.3*(3/2)/1023)-24.79*(x*3.3*(3/2)/1023)+87.757
11,Mini,Motor Monitor Sensor,Voltage,((x*3.3*(3/2)/1023)-2.5)*5
12,Bta,Vernier Anemometer,Anemometer,-10.0243397574+(x*3.3*(3/2)/1023)*10
13,Bta,Vernier Conductivity Probe (20000),Conductivity,0+(x*3.3*(3/2)/1023)*7819
14,Bta,Vernier Conductivity Probe (2000),Conductivity,0+(x*3.3*(3/2)/1023)*781.9
15,Bta,Vernier Conductivity Probe (200),Conductivity,0+(x*3.3*(3/2)/1023)*78.19
